Temperature,Gas,Humidity
32,1017,79.8
30,1020,80.2
32,1050,80.4
34.4,1019,80.4
34.3,1001,80.7
34.3,1023,80.6
34.2,1030,80.6
34.2,1008,81
34.2,1085,81.4
34,1122,81.4
34.4,1080,82.2
34.5,1006,82
34,1085,80.4
34,1124,82.7
35,1217,80
34.8,1192,80.8
34.8,1196,80.8
34.7,1179,80.8
32.1,1049,81.1
34.3,1042,81.1
34.3,1068,81.1
30.9,816,64.2
33.5,1075,79.2
33.4,1107,79.4
34.7,1200,80.5
34.7,1181,80.5
34.8,1194,80.4
31.9,1414,81.9
31.9,1439,81.8
31.9,1413,81.9
31.9,1375,82.2
31.9,1387,82.1
31.9,1408,82.1
31.9,1444,81.8
31.9,1437,81.8
31.9,1443,81.7
31.9,1408,82.1
31.9,1403,82
31.9,1410,82
31.9,1419,81.9
31.9,1437,81.8
31.9,1444,81.9
31.9,1443,81.7
31.9,1440,81.6
31.9,1343,82.7
31.9,1344,82.7
31.8,1350,82.7
26.7,940,86
27.1,937,85.9
27.4,1002,85.8
23,825,84.3
24.2,827,84.2
27.6,994,85.8
27.8,997,85.8
28,1020,85.7
28.2,1043,85.6
28.4,1066,85.5
28.6,1089,85.4
28.8,1112,85.3
29,1135,85.2
29.2,1158,85.1
29.4,1181,85
29.6,1204,84.9
29.8,1227,84.8
30,1250,84.7
30.2,1273,84.6
